working_capacity_0,working_capacity_1,working_capacity_2,working_capacity_3,fish_production_capacity_0,fish_production_capacity_1,crop_production_capacity_0,crop_production_capacity_1,crop_production_capacity_2,meat_production_capacity_0,meat_production_capacity_1,biodiversity_0,biodiversity_1,abiotic_resources_0,abiotic_resources_1,water_production_capacity_(drinking_water_&_irrigation_water)_0,water_production_capacity_(drinking_water_&_irrigation_water)_1,water_production_capacity_(drinking_water_&_irrigation_water)_2,Year,Company Name,target
69,39,394.0,445.7999546896239,1,763.0,90,516.0,437.0365710630131,21,94.0,310,418.64977022698787,3.0,850.0,2,40.0,3.0,2018,APPLUS SERVICES SA,-25.12%
1,75,76.0,865.0,4,191.0,2,34.0,20.0,54,603.0,766,418.64977022698787,3.0,661.0,56,57.0,645.0,2018,TELEPERFORMANCE SE,-4.28%
1,83,85.0,456.0,4,273.0,2,43.0,627.0,56,860.0,783,418.64977022698787,3.0,489.0,33,90.0,60.0,2018,SGS SA,-2.13%
1,93,12.0,582.0,4,522.0,2,56.0,694.0,60,89.0,820,418.64977022698787,3.0,428.0,1,5.0,662.0,2018,INTERTEK GROUP PLC,-3.39%
91,62,390.0,445.7999546896239,3,149.0,1,26.0,821.0,28,623.0,597,418.64977022698787,1.0,94.0,47,45.0,756.0,2018,THOMSON REUTERS CORP,-1.91%
1,9,50.0,902.0,2,690.0,1,45.0,917.0,33,926.0,493,418.64977022698787,3.0,953.0,59,658.0,333.03157793395593,2018,BUREAU VERITAS SA,-1.60%
1,0,13.0,253.0,2,322.0,1,33.0,125.0,31,182.0,422,418.64977022698787,1.0,53.0,54,832.0,333.03157793395593,2018,SAGA PLC,-4.04%
87,22,235.0,445.7999546896239,2,278.0,1,15.0,583.0,26,851.0,406,418.64977022698787,9.0,169.0,7,84.0,892.0,2018,RELX PLC,-0.39%
90,34,479.0,445.7999546896239,1,621.0,98,144.0,437.0365710630131,21,923.0,301,418.64977022698787,74.0,336.0,38,547.0,333.03157793395593,2018,CHINA PACIFIC INSURANCE (GROUP) COMPANY LIMITED,-0.20%
80,75,632.0,445.7999546896239,2,773.0,1,0.0,989.0,21,725.0,542,418.64977022698787,30.0,725.0,6,36.0,700.0,2018,RANDSTAD NV,-0.85%
