overall,reviewerID,asin,reviewText,summary,unixReviewTime,vote,Color1,Color2,Color3,Color4,Size,unixReviewTime,reviewTimeYear,reviewTimeMonth,reviewTimeWeek,reviewTimeDay,reviewTimeDayofweek,reviewTimeDayofyear,reviewTimeElapsed
5.0,ALJ66O1Y6SLHA,B000K2PJ4K,Great product and price!,Five Stars,1441324800.0,0, Blue,Orange,missing,missing, Big Boys,1441324800.0,2015.0,9.0,36.0,4.0,4.0,247.0,1441324800.0
5.0,ALJ66O1Y6SLHA,B000K2PJ4K,Great product and price!,Five Stars,1441324800.0,0, Black (37467610) , Red,White,missing, Big Boys,1441324800.0,2015.0,9.0,36.0,4.0,4.0,247.0,1441324800.0
5.0,ALJ66O1Y6SLHA,B000K2PJ4K,Great product and price!,Five Stars,1441324800.0,0, Blue,Gray Logo,missing,missing, Big Boys,1441324800.0,2015.0,9.0,36.0,4.0,4.0,247.0,1441324800.0
5.0,ALJ66O1Y6SLHA,B000K2PJ4K,Great product and price!,Five Stars,1441324800.0,0, Blue (37867638-99) , Yellow,missing,missing, Big Boys,1441324800.0,2015.0,9.0,36.0,4.0,4.0,247.0,1441324800.0
5.0,ALJ66O1Y6SLHA,B000K2PJ4K,Great product and price!,Five Stars,1441324800.0,0, Blue,Pink,missing,missing, Big Boys,1441324800.0,2015.0,9.0,36.0,4.0,4.0,247.0,1441324800.0
3.0,A3W11493KS6Z2L,B000K2PJ4K,Waaay too small. Will use for futur children!,Oops!,1430870400.0,0, White,Black,missing,missing, Little Boys,1430870400.0,2015.0,5.0,19.0,6.0,2.0,126.0,1430870400.0
5.0,A3W11493KS6Z2L,B000K2PJ4K,Stays vibrant after many washes,Great,1430870400.0,0, Blue,Orange,missing,missing, Little Boys,1430870400.0,2015.0,5.0,19.0,6.0,2.0,126.0,1430870400.0
5.0,A3W11493KS6Z2L,B000K2PJ4K,Stays vibrant after many washes,Good,1430870400.0,0, Blue (37867638-99) , Yellow,missing,missing, Little Boys,1430870400.0,2015.0,5.0,19.0,6.0,2.0,126.0,1430870400.0
5.0,A3W11493KS6Z2L,B000K2PJ4K,My son really likes the pink. Ones which I was nervous about,Great,1430870400.0,0, Blue,Pink,missing,missing, Little Boys,1430870400.0,2015.0,5.0,19.0,6.0,2.0,126.0,1430870400.0
3.0,A3W11493KS6Z2L,B000K2PJ4K,Waaay too small. Will use for future child.,Oops!,1430870400.0,0, Light Blue,Red,missing,missing, Little Boys,1430870400.0,2015.0,5.0,19.0,6.0,2.0,126.0,1430870400.0
